RA,DEC,BRICKNAME,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,TYPE,g_mag,r_mag,z_mag,w1_mag,r_minus_z,z_minus_w1,is_lrg_v1,is_lrg_v2,is_lrg_v3,is_lrg_v4,is_lrg_v5,phase3_ranking_mode,region_id,phase3_region_rank
3.728258418741465,-31.92385022821592,0036m320,0.6495634,2.8676848,8.723703,38.560497,EXP,22.968446180661306,21.35617144846919,20.148247773342163,18.534643434960067,1.2079236751270273,1.6136043383820962,False,True,True,True,True,density_v3,25,2
3.728730483589074,-32.093448078437596,0036m320,1.631309,5.0899034,13.126121,58.408085,SER,21.96865939787396,20.73322615955248,19.704659027341943,18.08381758379701,1.0285671322105365,1.6208414435449328,True,True,True,True,True,density_v3,25,2
3.7308870414032604,-32.11359598773817,0036m320,0.47942248,2.3599412,9.041607,33.083885,SER,23.2982040149627,21.56774702400459,20.109385946178435,18.700958737313055,1.4583610778261544,1.4084272088653798,False,False,True,True,True,density_v3,25,2
3.7316603510939457,-31.979996135202455,0036m320,0.6306185,2.555911,6.9213996,18.130688,DEV,23.00058321029742,21.481135655061255,20.399515192250405,19.353964306009555,1.0816204628108501,1.04555088624085,False,False,True,True,True,density_v3,25,2
3.7319199865859813,-31.884235241966596,0036m320,0.6369531,3.22012,10.060286,21.267925,DEV,22.989731334565715,21.230319875090224,19.99347422838178,19.180687186270102,1.2368456467084457,0.8127870421116761,False,False,True,True,True,density_v3,25,2
3.735931608790634,-32.09831739680407,0036m320,0.96269405,4.0061116,9.657819,40.057617,DEV,22.54127928217368,20.9931923854337,20.037802368377537,18.4932872203007,0.955390017056164,1.5445151480768367,False,False,True,True,True,density_v3,25,2
3.7364409174979354,-32.104103573263465,0036m320,3.2829473,6.7761292,9.812363,257.54987,DEV,21.209340221362066,20.42254579750498,20.020566020951343,16.472846680522615,0.40197977655363815,3.5477193404287277,False,True,True,True,True,density_v3,25,2
3.740860942443864,-31.95913506436957,0036m320,1.0463439,5.814332,15.31451,32.658184,REX,22.45081385955125,20.58875043223842,19.53724221109468,18.715019919354557,1.0515082211437417,0.8222222917401218,False,False,True,True,True,density_v3,25,2
3.741349538270524,-31.968187121284554,0036m320,1.6120523,5.8752365,13.682974,32.24539,SER,21.98155216665405,20.577436614787445,19.65954875665623,18.728830852880126,0.9178878581312162,0.9307179037761024,False,False,True,True,True,density_v3,25,2
3.741603497311132,-31.883561880503322,0036m320,1.8272649,6.2312384,15.7309885,33.499744,DEV,21.845496217237855,20.513564088120745,19.508109965899877,18.68739626594935,1.0054541222208684,0.8207136999505273,False,False,True,True,True,density_v3,25,2
3.7428625831030797,-32.01912919596561,0036m320,2.4745371,8.79241,27.223577,924.8267,PSF,21.516265061396716,20.139730183913986,18.912637009904362,15.084849076476456,1.2270931740096245,3.8277879334279064,True,True,True,True,True,density_v3,25,2
3.7431171324206156,-31.963154286083377,0036m320,0.8442938,4.550361,12.563956,27.72613,SER,22.683766034296575,20.854885331415094,19.752183960486818,18.892776880353523,1.1027013709282762,0.8594070801332947,False,False,True,True,True,density_v3,25,2
3.743689232071761,-32.109508865883754,0036m320,1.0389915,5.0110817,15.511399,149.27928,DEV,22.458470064418883,20.750171292265627,19.523372557780633,17.06500115892136,1.2267987344849942,2.458371398859274,True,True,True,True,True,density_v3,25,2
3.7442683151597604,-32.0300134071144,0036m320,2.937265,13.062768,28.776115,88.76816,SER,21.330142204008563,19.70991196727227,18.852419583209965,17.62935698033612,0.8574923840623043,1.2230626028738456,False,False,True,True,True,density_v3,25,2
3.744719285539445,-31.985152263575586,0036m320,4.271888,24.092102,65.97934,156.14996,SER,20.92345041142509,19.045313264716896,17.95148008927287,17.016145283216872,1.0938331754440256,0.9353348060559981,False,False,True,True,True,density_v3,25,2
3.7469441415948133,-32.04158153482692,0036m320,8.937416,35.79534,73.17397,163.85326,DEV,20.121970058114087,18.61543372501695,17.839108409246034,16.96386230885397,0.7763253157709151,0.8752461003920651,False,False,True,True,True,density_v3,25,2
3.74811144355561,-32.072942845739774,0036m320,1.5598556,3.8506408,7.5636516,18.512747,EXP,22.017289022654264,21.03616748703504,20.303171215531403,19.33132284610552,0.7329962715036373,0.9718483694258815,False,False,True,True,True,density_v3,25,2
3.7496697952140985,-31.98086299059479,0036m320,1.3034918,4.7178783,11.27784,47.898254,SER,22.212229215685603,20.815633155775554,19.869435210393352,18.29920078434651,0.9461979453822025,1.5702344260468415,False,False,True,True,True,density_v3,25,2
3.749905678242219,-31.957521473853035,0036m320,0.7520109,3.6722503,8.954612,19.244356,EXP,22.809439687366403,21.087669321167134,20.119883094949024,19.289241535512378,0.9677862262181094,0.8306415594366463,False,False,True,True,True,density_v3,25,2
3.750548327891607,-32.07383231447878,0036m320,0.26592028,1.5711113,8.544536,101.83935,DEV,23.938121345758688,22.00948260458927,20.17077883639879,17.480210976220746,1.8387037681904808,2.6905678601780423,False,True,True,True,True,density_v3,25,2
3.7507591149848176,-31.911878384932052,0036m320,1.0360775,3.7859697,10.841877,40.989704,SER,22.461519394540577,21.05455715549077,19.9122388117744,18.46831304113658,1.1423183437163686,1.4439257706378221,False,False,True,True,True,density_v3,25,2
3.758163248746801,-32.034079683085814,0036m320,1.5809928,7.6500583,17.793707,54.661167,SER,22.00267525743185,20.290838142172735,19.374333919015484,18.15580274833343,0.9165042231572507,1.2185311706820556,False,False,True,True,True,density_v3,25,2
3.7632872931704053,-31.96110552258338,0036m320,0.4900245,2.7433136,8.039523,19.233894,DEV,23.274455498864505,21.404311378122635,20.236924278146226,19.289831934661553,1.167387099976409,0.9470923434846732,False,False,True,True,True,density_v3,25,2
3.763320677380372,-31.95984518039962,0036m320,1.626022,8.359268,22.445055,47.489353,DEV,21.97218396932349,20.1945793529389,19.12219831474992,18.308509364016082,1.0723810381889791,0.8136889507338374,False,False,True,True,True,density_v3,25,2
3.764078589817482,-32.06650709457311,0036m320,0.20579831,1.4526675,7.72205,140.2389,SER,24.216395473938668,22.094584468057406,20.280668449943285,17.132828705391177,1.8139160181141207,3.1478397445521082,False,True,True,True,True,density_v3,25,2
3.76416900769359,-32.09705860932971,0036m320,0.9245911,5.1944914,19.3352,174.17143,SER,22.585125700106715,20.711142423870317,19.28412836440802,16.897557690587647,1.427014059462298,2.3865706738203727,True,True,True,True,True,density_v3,25,2
3.764280881707558,-32.058788197857616,0036m320,2.3406842,5.8522058,10.804044,24.66937,REX,21.576642952403446,20.581701033108338,19.91603416261837,19.019604824510136,0.665666870489968,0.8964293381082342,False,False,True,True,True,density_v3,25,2
3.7653241781919427,-31.980421871381655,0036m320,2.1091259,7.0474734,22.936527,90.73284,SER,21.689743762300893,20.37991638191901,19.098680841563944,17.605588720138396,1.2812355403550661,1.4930921214255477,False,False,True,True,True,density_v3,25,2
3.7664962079986792,-32.042595988841384,0036m320,0.019582612,1.7011514,14.503103,595.11365,REX,26.77032342783508,21.923142601233003,19.59634765254074,15.563500225375588,2.326794948692264,4.0328474271651515,True,True,True,True,True,density_v3,25,2
3.768091051833679,-32.03831908565115,0036m320,1.4938382,3.3685098,12.98366,185.54314,DEV,22.064241104272597,21.181405471893292,19.716507185882282,16.82888776487946,1.4648982860110102,2.887619421002821,True,True,True,True,True,density_v3,25,2
3.769042863066706,-31.96597216712809,0036m320,0.9528956,4.51082,11.187923,34.430862,DEV,22.552386716836434,20.86436127785794,19.87812628635455,18.657630247297924,0.986234991503391,1.220496039056627,False,False,True,True,True,density_v3,25,2
3.7702825185383713,-31.978967660481306,0036m320,0.39319742,1.49301,9.250484,24.650633,PSF,23.51347335879962,22.06484317646503,20.0845888044657,19.020429816389886,1.9802543719993295,1.064158988075814,False,False,True,True,True,density_v3,25,2
3.7710423438261533,-32.10339539777278,0036m320,4.2680526,15.97537,35.116497,117.756386,SER,20.924425597894786,19.49137265860519,18.636222031470822,17.322538830584637,0.8551506271343676,1.3136832008861852,False,False,True,True,True,density_v3,25,2
3.7711047613065682,-32.04236610742765,0036m320,0.11244488,0.8947646,12.175251,84.64173,REX,24.872650809665554,22.62072801343929,19.786305191327244,17.681038655393746,2.834422822112046,2.1052665359334988,True,True,True,True,True,density_v3,25,2
3.7714807804949153,-32.03851218395062,0036m320,0.6043796,3.067269,48.626373,331.19376,EXP,23.046725517935496,21.28312030588456,18.282820300706042,16.19979464858376,3.0003000051785165,2.0830256521222807,True,True,True,True,True,density_v3,25,2
3.7723211531103056,-32.07782867771324,0036m320,1.2265261,5.2628136,11.247888,71.97058,DEV,22.278307977911297,20.69695503580275,19.87232257940535,17.857112477551595,0.8246324563973992,2.0152101018537536,True,True,True,True,True,density_v3,25,2
3.7732130824300185,-32.06621412591436,0036m320,0.47232005,0.0903502,9.045298,220.9328,REX,23.31440904554355,25.110177165712212,20.108942846813793,16.639349506962837,5.001234318898419,3.469593339850956,False,True,True,True,True,density_v3,25,2
3.773447775135994,-31.981787353824878,0036m320,2.45671,8.24343,18.942284,65.38543,SER,21.524115221663944,20.20973009579678,19.30641916202721,17.96129754982646,0.9033109337695677,1.3451216122007494,False,False,True,True,True,density_v3,25,2
3.7734512626318417,-32.078829062782496,0036m320,10.983739,24.802864,41.541286,105.31319,SER,19.898124498780717,19.01374541688383,18.45380014543381,17.443793114561885,0.5599452714500188,1.0100070308719253,False,False,True,True,True,density_v3,25,2
3.7742843983064933,-32.0424909483333,0036m320,0.8615454,1.7822056,19.387926,176.65303,EXP,22.661804600324235,21.872605501262722,19.28117161071802,16.882197270144612,2.591433890544703,2.3989743405734067,True,True,True,True,True,density_v3,25,2
3.7743676146466516,-32.103580617286674,0036m320,0.90314204,3.5892477,11.592392,94.796715,DEV,22.61060985962819,21.11249142203139,19.83956735676424,17.558016782616356,1.2729240652671514,2.2815505741478823,True,True,True,True,True,density_v3,25,2
3.7751369584968497,-32.05289758017921,0036m320,0.8374838,2.6865678,17.769148,293.3177,EXP,22.692558932428252,21.427005493762803,19.37583349618174,16.33165436723253,2.0511719975810614,3.04417912894921,True,True,True,True,True,density_v3,25,2
3.775220474278409,-32.03704549483392,0036m320,0.18573861,1.1514536,18.089893,972.86426,EXP,24.327744532475013,22.34688388173868,19.35640998438774,15.02986937979044,2.9904738973509417,4.326540604597298,True,True,True,True,True,density_v3,25,2
3.7756196382023988,-32.068122993765925,0036m320,1.9865845,6.6943803,30.507788,624.2704,DEV,21.754732369259607,20.435724051475358,18.78897321102978,15.511568166811642,1.646750840445577,3.2774050442181384,True,True,True,True,True,density_v3,25,2
3.7763451966338204,-32.065298449826514,0036m320,0.18957382,0.6010417,6.949897,74.28992,REX,24.305554071252267,23.052738535353424,20.395054108712138,17.82267531727455,2.6576844266412856,2.5723787914375897,False,True,True,True,True,density_v3,25,2
3.7766211002726124,-32.05022593768493,0036m320,0.86203575,4.381295,12.706167,92.905235,SER,22.661186805597982,20.895993709545078,19.739963583443615,17.579899531115878,1.156030126101463,2.160064052327737,True,True,True,True,True,density_v3,25,2
3.7768824354094206,-32.0568038425677,0036m320,0.6577447,1.5084444,19.349499,927.2715,REX,22.954856597385405,22.053676711841003,19.283325702382548,15.081982738790732,2.770351009458455,4.2013429635918165,True,True,True,True,True,density_v3,25,2
3.776987628770228,-32.04699647044518,0036m320,1.557594,2.988344,35.91413,1488.5071,REX,22.01886437671755,21.31142354327545,18.611836588913086,14.568122738230834,2.6995869543623634,4.043713850682252,True,True,True,True,True,density_v3,25,2
3.7784613174553487,-32.02913795531623,0036m320,1.141111,3.4491613,41.63524,6987.33,EXP,22.35668025484053,21.155716241244015,18.451347354205794,12.88922185099456,2.704368887038221,5.5621255032112344,True,True,True,True,True,density_v3,25,2
3.7792239787187234,-32.021869150609234,0036m320,0.6292389,1.5415235,8.904803,346.4804,REX,23.00296108597837,22.030124656125835,20.125939176202138,16.150803295573432,1.9041854799236972,3.975135880628706,False,True,True,True,True,density_v3,25,2
3.779417123780285,-32.05811170535463,0036m320,1.2483957,2.5639396,12.942956,40.151295,REX,22.259119355935432,21.477730536928693,19.719916315508186,18.490751115030264,1.7578142214205066,1.2291652004779223,False,False,True,True,True,density_v3,25,2
3.7799291404571544,-32.063342276597204,0036m320,1.0649313,2.012203,23.138948,956.6687,REX,22.4316960475115,21.740820531409383,19.089140954087593,15.048096085974334,2.65167957732179,4.041044868113259,True,True,True,True,True,density_v3,25,2
