region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed
312,1,0.0623565502051461,4961,39.33125972006221,-27.0,1.2453055,25.193012,0.016480114,False,50,801.8403814115048,92,1475.386301797169,144,2309.300298465134,276,4426.158905391507,490,7858.035737832748
1679,1,0.0623636350330958,3246,301.9736842105263,-42.5,1.5201987,24.502384,0.056442533,False,49,785.7143024776564,92,1475.218690366212,176,2822.157494613623,342,5483.965131578744,589,9444.606615496727
1442,1,0.0624653405514318,3025,249.656652360515,13.999999999999998,1.3988401,24.283798,0.060562577,False,48,768.4261316157952,73,1168.6480751656886,170,2721.5092161392745,320,5122.840877438634,538,8612.776225193704
2033,1,0.0624355513267776,2248,347.8412256267409,5.0,1.6984255,24.266209,0.07928961,False,47,752.7762468855218,88,1409.4533984239556,214,3427.5344007128015,391,6262.457713451894,625,10010.322431988321
1745,1,0.0619972794554106,4383,314.8504983388704,-65.5,1.5322342,25.335634,0.035701975,False,46,741.9680412441954,63,1016.1736217040067,130,2096.866203516204,218,3516.283325896404,366,5903.484849899468
964,1,0.0623846875421419,2916,184.8898678414097,-19.25,1.010867,24.31968,0.05567901,False,46,737.3604294952383,79,1266.3363897853008,178,2853.2642706554875,336,5385.937050226089,571,9152.887070473502
1038,2,0.1248466741586195,5450,195.6685236768802,5.124975541504122,1.31830315,24.2079745,0.036456318,False,91,728.894066368025,148,1185.4540859611836,275,2202.7018489143616,552,4421.423347639009,969,7761.520333083696
382,1,0.0617943120008002,1208,53.47058823529412,-76.5,1.5026262,23.546822,0.14751229,False,45,728.2223645344135,67,1084.2421871956822,115,1861.0127093657231,184,2977.620334985157,286,4628.257694596494
1661,1,0.062184244923407,1684,298.9459459459459,-59.25,1.6209098,24.546684,0.055316377,False,44,707.5747249837201,67,1077.4433312252102,109,1752.85556870967,197,3168.00501867711,328,5274.64794987864
492,1,0.0609251242715637,3333,74.1891891891892,-84.25,1.5715591,24.65987,0.16310333,False,43,705.784362594561,71,1165.3648777724145,134,2199.4210369225852,295,4842.008999195244,550,9027.474405279268
786,2,0.1247921136286946,4224,146.92307692307688,13.25,1.21343695,24.2505645,0.045175863499999996,False,88,705.1727664605029,148,1185.9723799563003,230,1843.0651850672234,423,3389.637275145372,698,5593.302170334443
463,1,0.0624999504203529,2905,68.375,0.0,1.413357,24.48802,0.061567962,False,44,704.000558465588,70,1120.000888467981,132,2112.001675396764,255,4080.0032365619304,426,6816.005406962284
1222,1,0.0623882552177762,2614,220.2439024390244,31.5,1.3473485,24.102926,0.014534553,False,43,689.2322897939943,87,1394.4932374901744,161,2580.613922251932,318,5097.11321289512,514,8238.730161723559
1307,2,0.1247880900953106,5571,231.06097053583682,-22.874978999440756,1.7218616999999998,24.197792,0.15442082499999998,False,86,689.1683327656907,144,1153.956278119296,286,2291.885385709157,550,4407.471895594534,909,7284.349005628056
1907,1,0.0613812923303166,1799,335.4545454545454,-80.5,1.6628773,24.469032,0.15000845,False,42,684.247568037207,63,1026.3713520558106,146,2378.574879367434,257,4186.943452037195,391,6370.019026251141
1660,2,0.12484034713029751,6348,299.04610492845774,-29.249999999999996,1.3513621,25.4375305,0.12108152999999999,False,85,680.8696223127638,132,1057.3504722974685,224,1794.2917105654012,404,3236.133263698313,691,5535.069517860233
696,2,0.1248073974858069,5413,124.16430594900851,11.750000000000002,1.1476053,24.342222,0.0275031645,False,83,665.0246834081992,142,1137.7530728188467,277,2219.4197265550742,553,4430.827107526917,964,7723.901142234988
505,2,0.1249563558182939,6249,76.73157162726008,-3.3749839175601055,1.1878837999999998,24.047030499999998,0.388683145,False,83,664.2319188684967,127,1016.3548638108323,369,2953.0310609936782,539,4313.506075543612,777,6218.171095913517
329,1,0.0623014552073941,4369,41.1611374407583,-54.25,1.2658703,25.101402,0.044909753,False,41,658.0905672831541,76,1219.8751978907246,115,1845.8637862820176,249,3996.6963720367166,421,6757.466556736777
2094,1,0.062470139496829,1575,356.6203059805285,3.5,1.6822493,24.230692,0.0546904,False,41,656.3135656529336,63,1008.4818203935321,120,1920.9177531305372,238,3809.8202103755657,366,5858.799147048138
1056,4,0.2496845420864396,15728,198.5,-2.874986304496282,1.22086745,25.380726,0.030865198000000003,False,162,648.8186999734904,256,1025.2937481062565,468,1874.3651332567501,911,3648.603923924999,1479,5923.474427535755
524,1,0.0624195411294772,2584,80.3896103896104,-16.0,1.2080824,24.180593,0.07949737,False,40,640.8249608408331,57,913.1755691981872,126,2018.5986266486243,269,4309.5478616546025,415,6648.558968723643
1198,1,0.0624587911387772,2789,216.7270194986072,4.75,1.4761852,24.201546,0.03004271,False,40,640.4222571507026,68,1088.7178371561945,114,1825.2034328795025,244,3906.5757686192865,423,6772.4653693686805
975,1,0.0624945958979791,5463,186.375,0.75,1.1960847,25.627996,0.025077254,False,40,640.0553427899433,85,1360.1176034286295,163,2608.2255218690193,293,4688.405385936335,493,7888.682099886051
138,1,0.0624240731305223,2282,19.33988764044944,9.0,1.2314456,23.841467,0.034748986,False,39,624.7589758914805,61,977.1871161379568,112,1794.17962307297,236,3780.592777189472,412,6600.017899161282
1716,1,0.0624904313751754,2821,311.625,-1.0,1.4121368,24.536667,0.07932379,False,39,624.0955477784223,61,976.1494465252247,138,2208.338092139033,282,4512.690883936285,446,7137.092674594266
171,2,0.1248422710432214,8804,22.625,2.874986304496282,1.2324622,24.9803305,0.020562141,False,77,616.778270345162,117,937.182566628363,232,1858.344918442566,456,3652.6089776284916,804,6440.126355292341
345,3,0.1867257857270624,13530,43.5525328245679,-49.83328416314097,1.2495419,25.159914,0.030367708,False,115,615.8763748253593,187,1001.4685399334103,393,2104.690567881445,797,4268.2910498766205,1372,7347.672924003417
1889,1,0.0624163456400042,2324,333.0515759312321,14.5,1.495325,24.227962,0.063139,False,38,608.8148803066877,64,1025.3724299902108,118,1890.530417794451,211,3380.524730123976,385,6168.256024159861
1792,1,0.062052809613644,2911,320.9163346613546,-69.75,1.3580012,24.993265,0.03866159,False,37,596.2663130061486,74,1192.5326260122972,155,2497.872392323055,301,4850.707032833804,503,8105.998795732236
642,1,0.062130103617694,2244,112.361963190184,-63.25,1.2577231,24.312286,0.16128622,False,36,579.4292605967516,75,1207.1442929098994,180,2897.1463029837582,340,5472.3874611915435,523,8417.819535891698
1061,1,0.0622867444258077,4097,199.5361781076067,-41.75,1.4681046,24.917124,0.1310148,False,36,577.97209232666,63,1011.4511615716549,162,2600.87441546997,347,5571.008778815306,579,9295.717818253781
1812,1,0.0624261705894269,3415,322.7015558698727,11.25,1.325799,24.802452,0.09913028,False,36,576.6812165489022,70,1121.3245877339764,153,2450.895170332834,316,5061.979567484807,557,8922.539933826069
3,2,0.1248352853271481,7326,0.5020920502091909,-6.0,1.3917367999999999,24.985946499999997,0.037707520499999994,False,71,568.7494510380994,118,945.2455665140245,287,2299.0294710976696,543,4349.731717094198,909,7281.5950844173585
1494,1,0.0615999204700612,3878,259.5483870967742,-77.75,1.7496926,23.850418,0.28716004,False,35,568.1825517455125,53,860.3907212146331,184,2987.016843462123,313,5081.175391324155,467,7581.178619004409
299,1,0.0622088968072005,3974,37.53886010362694,-57.75,1.2316465,24.965473,0.038721647,False,35,562.6204899352732,66,1060.9414953065152,150,2411.230671151171,292,4693.862373174279,505,8117.809926208943
1142,1,0.0623362976394237,4461,209.4575045207957,-40.0,1.1920487,24.046879,0.15159385,False,35,561.4706250674848,60,962.5210715442596,186,2983.8153217872045,286,4588.017107694304,422,6769.731536527959
135,1,0.0623559824876632,1979,18.96923076923077,25.75,1.5007616,24.319754,0.10690789,False,35,561.2933772140398,73,1170.6976153321402,154,2469.690859741775,288,4618.642646789814,447,7168.518274705023
225,1,0.0624207086114847,2277,29.48275862068965,27.75,1.3691537,24.136465,0.07489904,False,35,560.7113533081615,52,833.0568677721258,122,1954.4795743884488,269,4309.467258282727,469,7513.532134329364
824,1,0.0624347671881602,2485,154.3041606886657,-14.75,1.1957994,24.198414,0.10657444,False,35,560.5850966741046,56,896.9361546785674,137,2194.2902355529236,260,4164.346432436206,436,6983.28863285456
779,1,0.0623665775149461,3345,146.2331838565023,-22.0,1.2435465,24.581673,0.058388725,False,34,545.1637937299338,62,994.1222120957616,129,2068.415570328278,261,4184.93382833861,484,7760.56694603788
221,1,0.0623742574875115,2695,28.86792452830189,17.25,1.3975748,24.34954,0.04632803,False,34,545.0966691957406,56,897.8062786753375,143,2292.6124616173793,321,5146.353847406845,523,8384.869352628597
2002,1,0.0623870397712629,2598,344.3877551020408,18.0,1.5445299,24.150238,0.0876624,False,34,544.9849860589361,64,1025.8540914050561,195,3125.6491847497805,378,6058.9507273611125,610,9777.671808704441
878,1,0.0623889442004918,2430,165.1532846715328,-18.25,1.4028852,23.953955,0.04940027,False,34,544.9683503336475,68,1089.936700667295,97,1554.762646540112,196,3141.582254864556,349,5593.93983136597
1325,1,0.0624114502828486,2851,233.213728549142,-27.25,1.6648685,24.551369,0.17141959,False,34,544.7718302637104,45,721.0215400549109,108,1730.451696131786,216,3460.903392263572,370,5928.399329340378
1275,1,0.0624176426635642,2925,227.8242677824268,-6.0,1.2677827,24.310884,0.083052136,False,34,544.7177840929137,58,929.2244552173233,121,1938.5544669188987,235,3764.9611547598442,399,6392.423407443311
453,3,0.1872913808757903,4532,67.17236681470834,10.083368350987199,1.3234143,23.951683,0.38819635,False,102,544.6059478179902,157,838.2660177198478,350,1868.745899375457,669,3571.9743048062305,1088,5809.130110058563
