region_id,brickname,ra,dec,area_deg2,n_gal,n_lrg_v1_pure_massive,n_lrg_v2_baseline_dr10,n_lrg_v3_color_relaxed,n_lrg_v4_mag_relaxed,n_lrg_v5_very_relaxed
87,0080p187,8.038067349926793,18.75,0.0623891976930968,2730,16,34,174,336,526
88,0080p195,8.073529411764707,19.5,0.0623806374255103,2461,7,22,95,191,358
88,0080p197,8.08541973490427,19.75,0.0623753859927082,2055,8,22,87,169,299
89,0081p145,8.12320916905444,14.5,0.0624163456399939,2548,20,26,99,223,362
90,0081p202,8.10930576070901,20.25,0.0623612653258141,2329,4,24,128,249,450
91,0081p260,8.194444444444445,26.0,0.0624162037020059,2527,27,50,146,294,476
92,0082m715,8.217391304347826,-71.5,0.0620812965708476,7952,5,24,139,269,467
93,0084m065,8.421787709497206,-6.5,0.0624451089910062,3815,13,26,100,223,400
94,0084m322,8.40983606557377,-32.25,0.0623897078466189,4443,7,21,94,196,359
95,0091p240,9.150227617602429,24.0,0.0623816585474483,2435,17,29,129,278,466
96,0094p280,9.466248037676609,28.0,0.0623745842382513,2801,3,20,162,310,523
97,0095m557,9.50859950859951,-55.75,0.0622265396944448,4242,12,27,83,192,330
98,0099p142,9.914163090128756,14.25,0.0623967901828787,2060,21,39,133,255,451
99,0100p215,10.05961251862891,21.5,0.0623975519310767,2397,9,27,107,231,387
100,0105m097,10.52112676056338,-9.75,0.0624647710927904,6238,11,22,107,236,411
101,0106m800,10.62992125984252,-80.0,0.0615288330411993,5615,10,20,98,219,377
102,0111p032,11.14047287899861,3.25,0.0624862163214896,5118,11,28,125,249,425
103,0115m580,11.51436031331593,-58.0,0.062262005153481,4943,10,24,82,196,373
104,0115p155,11.52517985611511,15.5,0.0623932892019226,1940,26,38,110,238,400
104,0117p155,11.7841726618705,15.5,0.0623932892019257,2202,31,50,100,219,379
105,0117p327,11.71334431630972,32.75,0.0623504539712361,2283,22,39,147,275,426
105,0120p327,12.00988467874794,32.75,0.0623504539712368,1951,11,23,100,208,348
106,0118m022,11.875,-2.25,0.0624517652236229,4205,11,21,104,215,377
107,0118p242,11.89969604863222,24.25,0.0623544975888732,2014,6,20,100,212,369
108,0119p072,11.95804195804196,7.25,0.0624338284246811,2427,10,22,100,215,377
108,0122p075,12.20979020979021,7.5,0.0623985781396702,2059,14,30,82,171,301
109,0120p195,12.04411764705882,19.5,0.0623806374255088,2572,7,22,101,210,375
110,0121m065,12.1927374301676,-6.5,0.0624451089910073,3758,8,22,112,221,381
111,0121p127,12.16216216216216,12.75,0.0624329581874049,2206,7,21,84,183,330
112,0121p270,12.17729393468118,27.0,0.0623565502051444,2832,20,38,124,257,425
113,0124m135,12.45363766048502,-13.5,0.0624202734762739,2382,7,21,92,184,325
114,0130m557,13.04668304668305,-55.75,0.0622265396944369,5313,8,22,96,221,390
115,0130m597,13.06849315068493,-59.75,0.0621090711881027,4376,12,27,87,175,324
116,0131m010,13.125,-1.0,0.0624904313751789,4446,8,21,121,269,440
117,0131p302,13.14606741573034,30.25,0.0623957735113415,1947,8,21,99,205,362
117,0131p305,13.16720257234727,30.5,0.0623364653729772,2178,14,20,96,220,393
118,0132m240,13.24734446130501,-24.0,0.0623816585474509,5960,16,35,111,252,462
119,0132m627,13.28313253012048,-62.75,0.0620611742029508,3549,18,28,83,170,278
119,0134m630,13.40425531914894,-63.0,0.0620959157508382,3496,20,29,65,152,275
120,0137m377,13.71278458844133,-37.75,0.0623134896549093,3204,10,24,98,181,270
120,0139m375,13.97905759162304,-37.5,0.0623051867233798,8804,10,21,201,327,479
120,0140m377,14.02802101576182,-37.75,0.0623134896549093,5812,11,20,155,222,297
121,0138m112,13.87553041018388,-11.25,0.0624261705894012,2439,8,22,81,192,352
122,0138p245,13.85670731707317,24.5,0.0624210742473167,2087,26,53,169,339,575
123,0139m072,13.97202797202797,-7.25,0.0624338284246669,2363,13,21,72,170,283
123,0139m075,13.97202797202797,-7.5,0.0623985781396702,2663,4,27,97,203,357
124,0139m277,13.96551724137931,-27.75,0.0624207086114858,5637,10,29,165,329,536
125,0140p262,14.04945904173107,26.25,0.062379043822251,2531,12,21,107,195,341
126,0141m027,14.125,-2.75,0.0624279746327597,4610,13,24,90,204,373
127,0142p320,14.26470588235294,32.0,0.0623564281927705,1958,8,26,111,201,346
128,0146p267,14.67391304347826,26.75,0.0623975474790685,2380,16,31,139,305,488
129,0148m497,14.83940042826552,-49.75,0.0622602912612868,6429,10,26,95,213,370
130,0148p007,14.875,0.75,0.0624945958979759,5833,9,27,107,246,431
131,0149p065,14.95810055865922,6.5,0.0624451089910196,2768,27,57,133,297,533
132,0150p250,15.0,25.0,0.0623605780793023,2407,16,32,110,232,447
133,0151m015,15.125,-1.5,0.0624785332483157,4690,11,25,133,279,474
133,0151m017,15.125,-1.75,0.0624707998707726,4316,12,35,95,216,390
134,0151p265,15.18575851393189,26.5,0.0623405794509446,1846,8,20,99,192,336
135,0152m122,15.21306818181818,-12.25,0.062465006969126,3083,19,39,103,217,393
136,0152m535,15.27906976744186,-53.5,0.0622488469074846,5279,11,21,115,265,455
