name,ra,dec,zlens,type,grading,ref
DESI-035.4511-64.4453,35.45209,-64.44524,0.33,galaxy,confident,Storfer et al. (2022) - arXiv:2206.02764 | Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764 | Rojas et al. (2021) - arXiv:2109.00014
DESI-035.5268+16.7916,35.52679,16.79158,0.52084655,galaxy,confident,Stein et al. (2021) - arXiv:2110.00023 | Storfer et al. (2022) - arXiv:2206.02764
DESI-035.5455+05.1584,35.54554,5.15842,0.656,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.5466-42.3592,35.54662,-42.35917,0.554,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.5526-16.0986,35.55258,-16.09858,0.453,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.5584-01.1370,35.55838,-1.13696,0.663,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.5703-36.9337,35.56858,-36.9341,0.317,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.6435-01.2042,35.6435,-1.20419,0.739,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.6755-52.7691,35.67542,-52.76912,0.785,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-035.7158-53.4663,35.71579,-53.46626,0.795,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.7202-03.9575,35.72021,-3.9575,0.836806,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.7407-25.1018,35.74071,-25.1018,,galaxy,probable,Huang et al. (2021) - arXiv:2005.04730
DESI-035.7520-12.2527,35.75196,-12.2527,0.548,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764 | Moustakas et al. (2012) - adsabs:2012hst..prop12833M
DESI-035.7571-15.5153,35.75712,-15.51528,0.806,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.7739+06.8505,35.77396,6.85051,0.82,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.7919-00.9525,35.79192,-0.95251,0.6644,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.7946-22.8049,35.79458,-22.80486,0.89,galaxy,confident,Huang et al. (2021) - arXiv:2005.04730 | Rojas et al. (2021) - arXiv:2109.00014
DESI-035.8285-04.3979,35.8285,-4.3979,0.394,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.8379-07.3794,35.83792,-7.3794,0.557,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.8438-06.3246,35.84379,-6.3246,0.35601,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.8660-18.4836,35.866,-18.4836,0.277,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.9027-06.8806,35.90271,-6.8806,0.587,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.9176-59.0876,35.91762,-59.08757,0.746,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.9185-05.8453,35.9185,-5.8453,0.643,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
DESI-035.9393-04.4005,35.93923,-4.40055,0.303703,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970 | Cabanac et al. (2006) - arXiv:0610362
DESI-035.9540-48.8017,35.95396,-48.80175,0.685,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-035.9646-26.8909,35.96458,-26.89092,0.859,galaxy,probable,Storfer et al. (2022) - arXiv:2206.02764
DESI-036.0184-04.4084,36.01842,-4.4084,0.304,galaxy,probable,Huang et al. (2020) - arXiv:1906.00970
