thetaE,psf_fwhm,depth,n,k,completeness,ci68_lo,ci68_hi,sufficient
2.5,1.05,23.0,200,70,0.35,0.31728003942288996,0.38420452808161976,True
2.5,1.05,23.5,0,0,,,,False
2.5,1.05,24.0,200,116,0.58,0.5449822476356514,0.6142260002782918,True
2.5,1.05,24.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
2.5,1.2,22.5,0,0,,,,False
2.5,1.2,23.0,0,0,,,,False
2.5,1.2,23.5,200,112,0.56,0.5248834845476698,0.5945227034662056,True
2.5,1.2,24.0,200,121,0.605,0.5701876428753226,0.6387731763182938,True
2.5,1.2,24.5,200,124,0.62,0.5853555814889363,0.6534567779643061,True
2.5,1.35,22.5,0,0,,,,False
2.5,1.35,23.0,0,0,,,,False
2.5,1.35,23.5,200,146,0.73,0.6977066130719263,0.7600169345218408,True
2.5,1.35,24.0,200,122,0.61,0.5752398488324794,0.6436714840168201,True
2.5,1.35,24.5,200,111,0.555,0.5198677598015207,0.5895879129304671,True
2.5,1.5,22.5,0,0,,,,False
2.5,1.5,23.0,200,158,0.79,0.759970271622574,0.8171592142467263,True
2.5,1.5,23.5,200,100,0.5,0.46492780020054486,0.5350721997994552,True
2.5,1.5,24.0,200,124,0.62,0.5853555814889363,0.6534567779643061,True
2.5,1.5,24.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
2.5,1.65,22.5,200,4,0.02,0.012367815958576884,0.03239815929127137,True
2.5,1.65,23.0,0,0,,,,False
2.5,1.65,23.5,200,131,0.655,0.620882658734995,0.687583284766051,True
2.5,1.65,24.0,200,109,0.545,0.5098469784583163,0.5797076634135454,True
2.5,1.65,24.5,200,100,0.5,0.46492780020054486,0.5350721997994552,True
2.5,1.8,22.5,0,0,,,,False
2.5,1.8,23.0,0,0,,,,False
2.5,1.8,23.5,200,124,0.62,0.5853555814889363,0.6534567779643061,True
2.5,1.8,24.0,200,106,0.53,0.4948423244311169,0.5648607705559212,True
2.5,1.8,24.5,200,72,0.36,0.32701872439929686,0.3943668661913401,True
2.75,0.9,22.5,0,0,,,,False
2.75,0.9,23.0,0,0,,,,False
2.75,0.9,23.5,0,0,,,,False
2.75,0.9,24.0,200,193,0.965,0.9496652549876151,0.9757242307286774,True
2.75,0.9,24.5,200,139,0.695,0.6617303781176427,0.7263396375756227,True
2.75,1.05,22.5,0,0,,,,False
2.75,1.05,23.0,200,77,0.385,0.35143397317505326,0.41970418055100545,True
2.75,1.05,23.5,0,0,,,,False
2.75,1.05,24.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
2.75,1.05,24.5,200,132,0.66,0.6259739109417266,0.692442543179469,True
2.75,1.2,22.5,0,0,,,,False
2.75,1.2,23.0,0,0,,,,False
2.75,1.2,23.5,200,113,0.565,0.5299027815250564,0.5994539216584692,True
2.75,1.2,24.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
2.75,1.2,24.5,200,120,0.6,0.5651391762960689,0.6338711290245757,True
2.75,1.35,22.5,0,0,,,,False
2.75,1.35,23.0,0,0,,,,False
2.75,1.35,23.5,200,159,0.795,0.7651974367654256,0.8218825339240814,True
2.75,1.35,24.0,200,114,0.57,0.5349256643183776,0.6043815539121822,True
2.75,1.35,24.5,200,102,0.51,0.4748853079093844,0.5450157238484141,True
2.75,1.5,22.5,0,0,,,,False
2.75,1.5,23.0,200,162,0.81,0.7809194216135982,0.8360119902767872,True
2.75,1.5,23.5,200,103,0.515,0.47986930758603663,0.5499822400283494,True
2.75,1.5,24.0,200,117,0.585,0.5500159813455974,0.6191427811825387,True
2.75,1.5,24.5,200,118,0.59,0.5550533672969662,0.6240559096783791,True
2.75,1.65,22.5,200,8,0.04,0.028407633941094055,0.05615217846724215,True
2.75,1.65,23.0,0,0,,,,False
2.75,1.65,23.5,200,120,0.6,0.5651391762960689,0.6338711290245757,True
2.75,1.65,24.0,200,112,0.56,0.5248834845476698,0.5945227034662056,True
2.75,1.65,24.5,200,96,0.48,0.4450547441678005,0.5151431923880494,True
2.75,1.8,22.5,0,0,,,,False
2.75,1.8,23.0,0,0,,,,False
2.75,1.8,23.5,200,106,0.53,0.4948423244311169,0.5648607705559212,True
2.75,1.8,24.0,200,100,0.5,0.46492780020054486,0.5350721997994552,True
2.75,1.8,24.5,200,72,0.36,0.32701872439929686,0.3943668661913401,True
3.0,0.9,22.5,0,0,,,,False
3.0,0.9,23.0,0,0,,,,False
3.0,0.9,23.5,0,0,,,,False
3.0,0.9,24.0,200,192,0.96,0.9438478215327578,0.971592366058906,True
3.0,0.9,24.5,200,139,0.695,0.6617303781176427,0.7263396375756227,True
3.0,1.05,22.5,0,0,,,,False
3.0,1.05,23.0,200,65,0.325,0.293004514397599,0.35872750215550303,True
3.0,1.05,23.5,0,0,,,,False
3.0,1.05,24.0,200,135,0.675,0.641272497844497,0.706995485602401,True
3.0,1.05,24.5,200,121,0.605,0.5701876428753226,0.6387731763182938,True
3.0,1.2,22.5,0,0,,,,False
3.0,1.2,23.0,0,0,,,,False
3.0,1.2,23.5,200,117,0.585,0.5500159813455974,0.6191427811825387,True
3.0,1.2,24.0,200,138,0.69,0.6566093449883118,0.7215101634611434,True
3.0,1.2,24.5,200,115,0.575,0.5399521476964446,0.6093055854478953,True
3.0,1.35,22.5,0,0,,,,False
3.0,1.35,23.0,0,0,,,,False
3.0,1.35,23.5,200,146,0.73,0.6977066130719263,0.7600169345218408,True
3.0,1.35,24.0,200,123,0.615,0.5802958194489946,0.6485660268249467,True
3.0,1.35,24.5,200,115,0.575,0.5399521476964446,0.6093055854478953,True
3.0,1.5,22.5,0,0,,,,False
3.0,1.5,23.0,200,149,0.745,0.7131982449997549,0.774376803800226,True
3.0,1.5,23.5,200,103,0.515,0.47986930758603663,0.5499822400283494,True
3.0,1.5,24.0,200,114,0.57,0.5349256643183776,0.6043815539121822,True
3.0,1.5,24.5,200,119,0.595,0.5600944252517688,0.6289653659918599,True
3.0,1.65,22.5,200,19,0.095,0.0763724850642574,0.11763799745952956,True
3.0,1.65,23.0,0,0,,,,False
3.0,1.65,23.5,200,121,0.605,0.5701876428753226,0.6387731763182938,True
3.0,1.65,24.0,200,106,0.53,0.4948423244311169,0.5648607705559212,True
3.0,1.65,24.5,200,89,0.445,0.4104120870695329,0.4801322401984794,True
3.0,1.8,22.5,0,0,,,,False
3.0,1.8,23.0,0,0,,,,False
3.0,1.8,23.5,200,116,0.58,0.5449822476356514,0.6142260002782918,True
3.0,1.8,24.0,200,115,0.575,0.5399521476964446,0.6093055854478953,True
3.0,1.8,24.5,200,76,0.38,0.3465432220356938,0.4146444185110637,True
