RA,DEC,BRICKNAME,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,TYPE,g_mag,r_mag,z_mag,w1_mag,r_minus_z,z_minus_w1,is_lrg_v1,is_lrg_v2,is_lrg_v3,is_lrg_v4,is_lrg_v5,phase3_ranking_mode,region_id,phase3_region_rank
34.67836342731665,-14.891426010577039,0347m150,1.005589,3.8289979,14.073464,55.67851,SER,22.49394870596424,21.04228719365796,19.628997453316224,18.13578101245422,1.4132897403417353,1.4932164408620032,False,False,True,True,True,total_lrg_v3,396,3
34.680861968352765,-14.961750274577087,0347m150,1.1429666,4.03683,9.143476,20.718676,SER,22.354916124481203,20.984898862178966,20.097221732302877,19.20909502291712,0.8876771298760886,0.8881267093857588,False,False,True,True,True,total_lrg_v3,396,3
34.68196389005922,-14.910667418800363,0347m150,1.0640861,4.3765516,11.78602,49.390495,SER,22.432558095558125,20.8971698599984,19.821582039991682,18.265891546506154,1.0755878200067173,1.5556904934855282,False,False,True,True,True,total_lrg_v3,396,3
34.68295308483422,-14.880201027862363,0347m150,1.4447125,3.9546504,9.82252,24.520283,REX,22.100546409176268,21.0072297571307,20.019442667278327,19.02618631559998,0.9877870898523717,0.9932563516783475,False,False,True,True,True,total_lrg_v3,396,3
34.68342091253905,-14.899184333058333,0347m150,1.0963736,3.391242,6.97382,14.851305,EXP,22.400103617923172,21.174103035609,20.391323133161208,19.57058845629737,0.7827799024477926,0.8207346768638395,False,False,True,True,True,total_lrg_v3,396,3
34.687441100394935,-14.922598234806072,0347m150,2.1371644,6.676752,15.381571,32.408733,SER,21.675405195020957,20.43858687233624,19.532498276761856,18.723344855470422,0.9060885955743849,0.809153421291434,False,False,True,True,True,total_lrg_v3,396,3
34.687646659735904,-14.981361015060727,0347m150,0.34725368,2.2562053,7.3593783,19.87478,SER,23.64838285717415,21.61655345250058,20.332897174699635,19.2542441391805,1.2836562778009437,1.0786530355191353,False,False,True,True,True,total_lrg_v3,396,3
34.68958665995105,-14.887772248831531,0347m150,1.4520415,6.1215787,14.805406,37.586987,DEV,22.095052422756574,20.53284140811106,19.573949224873182,18.562406228861995,0.9588921832378787,1.0115429960111868,False,False,True,True,True,total_lrg_v3,396,3
34.690010791417336,-14.919509809553817,0347m150,0.81642085,4.871183,17.470905,51.78506,SER,22.72021477750662,20.78091390465571,19.394211475618604,18.21448877206602,1.3867024290371042,1.179722703552585,False,False,True,True,True,total_lrg_v3,396,3
34.69009509843059,-14.901532321754793,0347m150,0.50410074,2.6805658,8.176522,26.030087,DEV,23.243706662680516,21.429433805351916,20.21857844211937,18.961310971012132,1.2108553632325467,1.2572674711072374,False,False,True,True,True,total_lrg_v3,396,3
