brickname,ra,dec,ra1,ra2,dec1,dec2,psfsize_g,psfsize_r,psfsize_z,psfdepth_g,psfdepth_r,psfdepth_z,ebv,area_deg2,lrg_count,lrg_density
2343p005,234.375,0.5,234.25,234.5,0.375,0.625,1.8230156898498535,1.2303166389465332,1.4067820310592651,24.63393783569336,24.314157485961914,23.29636001586914,0.08385138213634491,0.06249757061376101,4,64.0024877882095
2341p005,234.125,0.5,234.0,234.25,0.375,0.625,1.8250153064727783,1.2220362424850464,1.4073548316955566,24.616458892822266,24.304616928100586,23.275890350341797,0.07561488449573517,0.062497570613748284,2,32.00124389411127
2338p005,233.875,0.5,233.75,234.0,0.375,0.625,1.8414127826690674,1.2188048362731934,1.411494255065918,24.604515075683594,24.306575775146484,23.282222747802734,0.07284728437662125,0.062497570613748284,3,48.001865841166904
2338p002,233.875,0.25,233.75,234.0,0.125,0.375,1.8347809314727783,1.2142826318740845,1.4129910469055176,24.608901977539062,24.30851936340332,23.28331756591797,0.07146847248077393,0.06249935546586763,6,96.0009900146369
2336p002,233.625,0.25,233.5,233.75,0.125,0.375,1.8473390340805054,1.251874566078186,1.3846673965454102,24.603923797607422,24.32478141784668,23.304807662963867,0.07376683503389359,0.06249935546588035,6,96.00099001461736
2336p000,233.625,0.0,233.5,233.75,-0.125,0.125,1.5466984510421753,1.4410152435302734,1.244960069656372,24.860429763793945,24.41293716430664,23.42613983154297,0.08085688203573227,0.062499950420362466,18,288.000228463151
2333p000,233.375,0.0,233.25,233.5,-0.125,0.125,1.524100422859192,1.4224108457565308,1.1865290403366089,24.992782592773438,24.616458892822266,23.574848175048828,0.08300697803497314,0.06249995042034974,9,144.0001142316048
2328p005,232.875,0.5,232.75,233.0,0.375,0.625,1.3127862215042114,1.4799537658691406,1.0974065065383911,25.008514404296875,24.544553756713867,23.404747009277344,0.06461817771196365,0.062497570613748284,11,176.00684141761198
2326p005,232.625,0.5,232.5,232.75,0.375,0.625,1.2714325189590454,1.4950006008148193,1.0356531143188477,24.984724044799805,24.499900817871094,23.37682342529297,0.0675048753619194,0.06249757061376101,9,144.00559752347138
2328p000,232.875,0.0,232.75,233.0,-0.125,0.125,1.339198350906372,1.4689210653305054,1.0946284532546997,25.040597915649414,24.606922149658203,23.47586441040039,0.07475686073303223,0.06249995042034974,8,128.00010153920428
