brickname,ra,dec,ra1,ra2,dec1,dec2,psfsize_g,psfsize_r,psfsize_z,psfdepth_g,psfdepth_r,psfdepth_z,ebv,area_deg2,lrg_count,lrg_density
2388p015,238.875,1.5,238.75,239.0,1.375,1.625,1.5038881301879883,1.4594637155532837,1.1772923469543457,24.639488220214844,24.216609954833984,23.38718605041504,0.09407834708690643,0.06247853324831182,8,128.04397901284216
2388p012,238.875,1.25,238.75,239.0,1.125,1.375,1.4956281185150146,1.4399882555007935,1.1787508726119995,24.742511749267578,24.285682678222656,23.401174545288086,0.09176793694496155,0.062485077124642664,17,272.06495986376234
2386p017,238.625,1.75,238.5,238.75,1.625,1.875,1.4709140062332153,1.3690427541732788,1.300790786743164,24.713003158569336,24.34918975830078,23.40285873413086,0.0890253558754921,0.06247079987076864,8,128.05982981728016
2386p012,238.625,1.25,238.5,238.75,1.125,1.375,1.4921187162399292,1.3720815181732178,1.2230292558670044,24.638404846191406,24.283031463623047,23.39034652709961,0.0992879718542099,0.062485077124642664,6,96.02292701073965
2383p007,238.375,0.75,238.25,238.5,0.625,0.875,1.4610085487365723,1.4448293447494507,1.2718528509140015,25.045183181762695,24.570560455322266,23.75849723815918,0.09890761971473694,0.06249459589798551,6,96.00830141848165
2378p012,237.875,1.25,237.75,238.0,1.125,1.375,1.5808871984481812,1.402053713798523,1.2443687915802002,24.566883087158203,24.288280487060547,23.360071182250977,0.09507700800895691,0.062485077124642664,5,80.01910584228304
2376p012,237.625,1.25,237.5,237.75,1.125,1.375,1.6052658557891846,1.430322289466858,1.2582812309265137,24.568660736083984,24.288232803344727,23.350616455078125,0.0926160216331482,0.06248507712465539,7,112.02674817917344
2373p010,237.375,1.0,237.25,237.5,0.875,1.125,1.6228177547454834,1.4468762874603271,1.2220475673675537,24.56680679321289,24.2752742767334,23.03217887878418,0.09348501265048981,0.0624904313751754,7,112.0171496012553
2381p007,238.125,0.75,238.0,238.25,0.625,0.875,1.4808658361434937,1.3689428567886353,1.1394386291503906,25.008644104003906,24.4926815032959,23.683202743530273,0.08765092492103577,0.062494595897972786,5,80.006917848751
2378p010,237.875,1.0,237.75,238.0,0.875,1.125,1.5638867616653442,1.3866246938705444,1.2436996698379517,24.598968505859375,24.312164306640625,23.347768783569336,0.08822640031576157,0.0624904313751754,10,160.0244994303647
2376p010,237.625,1.0,237.5,237.75,0.875,1.125,1.5894355773925781,1.3979400396347046,1.2663300037384033,24.587230682373047,24.30414390563965,23.338077545166016,0.08788204193115234,0.06249043137518812,7,112.01714960123248
2373p007,237.375,0.75,237.25,237.5,0.625,0.875,1.5211395025253296,1.4933871030807495,1.3177961111068726,24.831525802612305,24.438154220581055,23.26491355895996,0.08724844455718994,0.062494595897972786,6,96.0083014185012
