region_id,n_bricks,total_area_deg2,total_n_gal,ra_center_deg,dec_center_deg,median_psf_r_arcsec,median_psfdepth_r,median_ebv,keep_in_area_window,total_n_lrg_v1_pure_massive,mean_lrg_density_v1_pure_massive,total_n_lrg_v2_baseline_dr10,mean_lrg_density_v2_baseline_dr10,total_n_lrg_v3_color_relaxed,mean_lrg_density_v3_color_relaxed,total_n_lrg_v4_mag_relaxed,mean_lrg_density_v4_mag_relaxed,total_n_lrg_v5_very_relaxed,mean_lrg_density_v5_very_relaxed
2088,2,0.12484034713029751,6348,299.04610492845774,-29.249999999999996,1.3513621,25.4375305,0.12108152999999999,False,85,680.8696223127638,132,1057.3504722974685,224,1794.2917105654012,404,3236.133263698313,691,5535.069517860233
2115,1,0.0615872057817403,1550,302.5,-81.5,2.02633,23.937243,0.38275385,False,31,503.3512984800983,65,1055.4140129421417,154,2500.519353739843,291,4725.007350248665,456,7404.135229255639
1273,2,0.1247539504213908,6508,189.2810509400294,-17.375005446166572,1.0169161,24.315943,0.040336397999999996,False,82,657.2938149294866,130,1042.0511700101617,309,2476.875473331846,576,4617.088260968101,930,7454.67375468808
530,2,0.1228966379877784,6802,62.60921386904021,-81.87490140043849,1.45090385,24.8413435,0.07488549,False,58,471.9413073429061,128,1041.525643791241,324,2636.361785846579,681,5541.241901733088,1161,9446.963065950242
2413,1,0.0613812923303166,1799,335.4545454545454,-80.5,1.6628773,24.469032,0.15000845,False,42,684.247568037207,63,1026.3713520558106,146,2378.574879367434,257,4186.943452037195,391,6370.019026251141
2518,1,0.0623870397712629,2598,344.3877551020408,18.0,1.5445299,24.150238,0.0876624,False,34,544.9849860589361,64,1025.8540914050561,195,3125.6491847497805,378,6058.9507273611125,610,9777.671808704441
2385,1,0.0624163456400042,2324,333.0515759312321,14.5,1.495325,24.227962,0.063139,False,38,608.8148803066877,64,1025.3724299902108,118,1890.530417794451,211,3380.524730123976,385,6168.256024159861
1341,4,0.2496845420864396,15728,198.5,-2.874986304496282,1.22086745,25.380726,0.030865198000000003,False,162,648.8186999734904,256,1025.2937481062565,468,1874.3651332567501,911,3648.603923924999,1479,5923.474427535755
47,1,0.0624566943109199,2205,4.188998589562765,10.25,1.2197123,24.625446,0.25086203,False,34,544.3771940721406,64,1024.7100123710882,148,2369.641903608141,281,4499.117398066809,472,7557.236341236775
637,2,0.1249563558182939,6249,76.73157162726008,-3.3749839175601055,1.1878837999999998,24.047030499999998,0.388683145,False,83,664.2319188684967,127,1016.3548638108323,369,2953.0310609936782,539,4313.506075543612,777,6218.171095913517
2203,1,0.0619972794554106,4383,314.8504983388704,-65.5,1.5322342,25.335634,0.035701975,False,46,741.9680412441954,63,1016.1736217040067,130,2096.866203516204,218,3516.283325896404,366,5903.484849899468
1350,1,0.0622867444258077,4097,199.5361781076067,-41.75,1.4681046,24.917124,0.1310148,False,36,577.97209232666,63,1011.4511615716549,162,2600.87441546997,347,5571.008778815306,579,9295.717818253781
1082,1,0.0624349037102856,2737,159.4468085106383,-12.0,1.4067348,24.072609,0.052925337,False,23,368.3836865790017,63,1009.0509675859611,176,2818.9360364306217,315,5045.254837929806,508,8136.474468788385
